Source,Country,Form,Prod_t_Est_2020,Prod_t_Est_2021
MCS2022,United States,Refinery production,W,W
MCS2022,Australia,Refinery production,348,300
MCS2022,Canada,Refinery production,1800,1800
MCS2022,China,Refinery production,10000,10000
MCS2022,Germany,Refinery production,450,500
MCS2022,Japan,Refinery production,1880,1900
MCS2022,Kazakhstan,Refinery production,1500,1500
MCS2022,"Korea, Republic of",Refinery production,3000,3000
MCS2022,Mexico,Refinery production,978,800
MCS2022,Netherlands,Refinery production,880,900
MCS2022,Norway,Refinery production,400,400
MCS2022,Peru,Refinery production,700,600
MCS2022,Russia,Refinery production,1000,1000
MCS2022,Uzbekistan,Refinery production,400,400
MCS2022,Other countries,Refinery production,520,600
MCS2022,World total (rounded),Refinery production,24000,24000
