Source,Country,Type,Prod_mcm_2020,Prod_mcm_Est_2021
MCS2022,United States (extracted from natural gas),Mine production,76,71
MCS2022,United States (from Cliffside Field),Mine production,7,6
MCS2022,Algeria,Mine production,14,14
MCS2022,Australia,Mine production,4,4
MCS2022,Canada,Mine production,<1,<1
MCS2022,China,Mine production,1,1
MCS2022,Poland,Mine production,1,1
MCS2022,Qatar,Mine production,51,51
MCS2022,Russia,Mine production,5,9
MCS2022,World total (rounded),Mine production,160,160
