Source,Country,Type,Prod_t_Est_2020,Prod_t_Est_2021
MCS2022,United States,Refinery production,0,0
MCS2022,Belgium,Refinery production,20,20
MCS2022,Canada,Refinery production,66,60
MCS2022,China,Refinery production,540,530
MCS2022,France,Refinery production,38,35
MCS2022,Japan,Refinery production,66,60
MCS2022,"Korea, Republic of",Refinery production,210,200
MCS2022,Peru,Refinery production,12,10
MCS2022,Russia,Refinery production,5,5
MCS2022,World total (rounded),Refinery production,960,920
