Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021,
MCS2022,United States,Mine production,306,300,
MCS2022,Australia,Mine production,494,500,
MCS2022,Bolivia,Mine production,65,90,
MCS2022,China,Mine production,"1,900","2,000",
MCS2022,India,Mine production,204,210,
MCS2022,Kazakhstan,Mine production,30,40,
MCS2022,Mexico,Mine production,260,270,
MCS2022,Peru,Mine production,242,280,
MCS2022,Russia,Mine production,210,210,
MCS2022,Sweden,Mine production,70,70,
MCS2022,Tajikistan,Mine production,46,46,
MCS2022,Turkey,Mine production,63,60,
MCS2022,Other countries,Mine production,490,220,
MCS2022,World total (rounded),Mine production,"4,380","4,300",
