Source,Country,Type,Prod_kg_2020,Prod_kg_Est_2021
MCS2022,United States, Mine production: Palladium,14600,14000
MCS2022,Canada, Mine production: Palladium,20000,17000
MCS2022,Russia, Mine production: Palladium,93000,74000
MCS2022,South Africa, Mine production: Palladium,73500,80000
MCS2022,Zimbabwe, Mine production: Palladium,12900,13000
MCS2022,Other countries, Mine production: Palladium,2670,2800
MCS2022,World total (rounded), World mine production: Palladium,217000,200000
MCS2022,United States, Mine production: Platinum,4200,4200
MCS2022,Canada, Mine production: Platinum,7000,6000
MCS2022,Russia, Mine production: Platinum,23000,19000
MCS2022,South Africa, Mine production: Platinum,112000,130000
MCS2022,Zimbabwe, Mine production: Platinum,15000,15000
MCS2022,Other countries, Mine production: Platinum,4320,4300
MCS2022,World total (rounded),World mine production: Platinum,166000,180000
